query_id,link,,desired_package,,time
1,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+discover+other+ROS+masters,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+discover+other+ROS+masters,master_discovery_fkie,1,0.28
2,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Synchronize+the+local+ROS+master,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Synchronize+the+local+ROS+master,master_sync_fkie,1,0.29
3,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+GUI+to+pilot+the+robot+using+Twist+message,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+GUI+to+pilot+the+robot+using+Twist+message,rqt_robot_steering,NA,0.35
4,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+OpenCV+to+capture+camera+image,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+OpenCV+to+capture+camera+image,cv_camera,NA,0.27
5,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+view+image+from+ROS+image+topics,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+view+image+from+ROS+image+topics,image_view,1,0.30 
6,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+meta-package+for+esay+install+velodyne+simulation+components,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+meta-package+for+esay+install+velodyne+simulation+components,velodyne_simulator,1,0.29
7,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+description+package+for+velodyne+lidar,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+description+package+for+velodyne+lidar,velodyne_description,3,0.28
8,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+gazebo+plugin+to+provide+simulated+data+from+velodyne+lidar,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+gazebo+plugin+to+provide+simulated+data+from+velodyne+lidar,velodyne_gazebo_plugins,1,0.31
9,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+launch+the+driver+for+velodyne+lidar,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+launch+the+driver+for+velodyne+lidar,velodyne_driver,1,0.31
10,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+convert+data+from+velodyne+lidar+to+point+cloud,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+convert+data+from+velodyne+lidar+to+point+cloud,velodyne_pointcloud,5,0.26
11,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+launch+the+driver+for+leap+motion,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+launch+the+driver+for+leap+motion,leap_motion,1,0.32
12,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visualize+3d+markers,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visualize+3d+markers,rviz,20,0.34
13,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+launch+the+driver+for+V4L+usb+camera,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+launch+the+driver+for+V4L+usb+camera,usb_cam,2,0.32
14,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+direct+ROS+topics,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+direct+ROS+topics,topic_tools,NA,0.29
15,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+interface+with+Dynamixel+servo+motors,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+interface+with+Dynamixel+servo+motors,dynamixel_motor,3,0.29
16,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+tutorials+for+dynamixel+robot,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+tutorials+for+dynamixel+robot,dynamixel_tutorials,NA,0.37
17,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+convert+OpenCV+images+to+ROS+image+messages,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+convert+OpenCV+images+to+ROS+image+messages,cv_bridge,4,0.29
18,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+calibrate+parameters+for+image+with+OpenCV,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+calibrate+parameters+for+image+with+OpenCV,image_geometry,NA,0.29
19,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+simulate+turtlebot2+in+gazebo,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+simulate+turtlebot2+in+gazebo,turtlebot_gazebo,NA,0.25
20,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+open+dashboard+for+turtlebot2,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+open+dashboard+for+turtlebot2,turtlebot_dashboard,NA,0.24
21,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+automatic+docking+for+kobuki,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+automatic+docking+for+kobuki,kobuki_auto_docking,2,0.33
22,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+view+the+real+time+image,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+view+the+real+time+image,image_view,NA,0.41
23,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+the+tb2+robot,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+the+tb2+robot,turtlebot_bringup,NA,0.27
24,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+turtlebot2+create+maps+with+gmapping+algorithm,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+turtlebot2+create+maps+with+gmapping+algorithm,turtlebot_navigation,NA,0.27
25,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visualize+turtlebot2+with+rviz,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visualize+turtlebot2+with+rviz,turtlebot_rviz_launchers,NA,0.29
26,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+joysticks+or+keyboard+to+teleoperate+tb2,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+joysticks+or+keyboard+to+teleoperate+tb2,turtlebot_teleop,NA,0.21
27,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+save+the+map,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+save+the+map,map_server,1,0.34
28,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+modify+parameter+with+rqt+plugin,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+modify+parameter+with+rqt+plugin,rqt_reconfigure,1,0.29
29,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+Baxter+in+Gazebo+world,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+Baxter+in+Gazebo+world,baxter_gazebo,15,0.29
30,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+metapackage+for+baxter+simulation,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+metapackage+for+baxter+simulation,baxter_simulator,1,0.26
31,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+compensate+the+gravity+for+baxter+in+gazebo,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+compensate+the+gravity+for+baxter+in+gazebo,baxter_sim_kinematics,NA,0.30 
32,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+simulate+the+hardware+interfaces+for+Baxter+in+Gazebo,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+simulate+the+hardware+interfaces+for+Baxter+in+Gazebo,baxter_sim_hardware,NA,0.25
33,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+baxter+samples+in+gazebo,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+baxter+samples+in+gazebo,baxter_sim_examples,NA,0.26
34,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+baxter+controller+in+gazebo,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+baxter+controller+in+gazebo,baxter_sim_controllers,11,0.31
35,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+description+package+for+baxter+robot,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+description+package+for+baxter+robot,baxter_description,1,0.41
36,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Message+package+for+baxter,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Message+package+for+baxter,baxter_core_msgs,2,0.26
37,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+teleoperate+hector+quadrotor+with+joystick,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+teleoperate+hector+quadrotor+with+joystick,hector_quadrotor_teleop,NA,0.24
38,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+supply+plugins+for+hector+quadrotor+in+gazebo,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+supply+plugins+for+hector+quadrotor+in+gazebo,hector_quadrotor_gazebo_plugins,1,0.24
39,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+the+hector+quadrotor+in+gazebo+simulator,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+the+hector+quadrotor+in+gazebo+simulator,hector_quadrotor_gazebo,NA,0.27
40,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+describe+the+hector+quadrotor+UAV+with+URDF+model,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+describe+the+hector+quadrotor+UAV+with+URDF+model,hector_quadrotor_description,NA,0.33
41,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+demonstrations+for+hector+quadrotor,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+demonstrations+for+hector+quadrotor,hector_quadrotor_demo,NA,0.28
42,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+demonstrations+for+crazyflie,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+demonstrations+for+crazyflie,crazyflie_demo,NA,0.34
43,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+driver+package+for+crazyflie,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+driver+package+for+crazyflie,crazyflie_driver,NA,0.27
44,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+description+package+to+provide+URDF+model+for+crazyflie+robot,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+description+package+to+provide+URDF+model+for+crazyflie+robot,crazyflie_description,NA,0.37
45,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+PID+controller+for+navigation+of+crazyflie,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+PID+controller+for+navigation+of+crazyflie,crazyflie_controller,NA,0.35
46,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+package+that+includes+tools+for+bebop,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+package+that+includes+tools+for+bebop,bebop_tools,NA,0.28
47,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Message+package+for+bebop+robot,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Message+package+for+bebop+robot,bebop_msgs,NA,0.28
48,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+package+that+includes+bebop_driver_node+node,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+package+that+includes+bebop_driver_node+node,bebop_driver,6,0.20 
49,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+description+package+for+bebop+robot,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+description+package+for+bebop+robot,bebop_description,1,0.31
50,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+python+to+implement+rosserial+protocol,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+python+to+implement+rosserial+protocol,rosserial_python,1,0.28
51,"https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+save+audio+from+microphone+or+mp3+file,+and+play+the+audio","https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+save+audio+from+microphone+or+mp3+file,+and+play+the+audio",audio_capture,1,0.34
52,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+play+the+audio,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+play+the+audio,audio_play,5,0.41
53,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+translate+command+from+ROS+topic,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+translate+command+from+ROS+topic,sound_play,NA,0.32
54,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Message+package+for+audio,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Message+package+for+audio,audio_common_msgs,1,0.52
55,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+audio+monitor+of+rospeex+based+on+browser,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+audio+monitor+of+rospeex+based+on+browser,rospeex_webaudiomonitor,NA,0.20 
56,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+give+some+examples+for+rospeex,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+give+some+examples+for+rospeex,rospeex_samples,NA,0.31
57,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Message+package+for+rospeex,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Message+package+for+rospeex,rospeex_msgs,1,0.24
58,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+provide+launches+for+rospeex,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+provide+launches+for+rospeex,rospeex_launch,NA,0.26
59,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+package+that+includes+interface+libraries+for+rospeex,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+package+that+includes+interface+libraries+for+rospeex,rospeex_if,1,0.23
60,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+package+that+includes+core+nodes+for+rospeex,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+package+that+includes+core+nodes+for+rospeex,rospeex_core,1,0.23
61,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+audio+monitor+of+rospeex,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+audio+monitor+of+rospeex,rospeex_audiomonitor,1,0.22
62,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+metapackage+for+rospeex,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+metapackage+for+rospeex,rospeex,1,0.22
63,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+detect+faces+from+images,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+detect+faces+from+images,face_detector,13,0.36
64,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+plot+scalar+data,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+plot+scalar+data,rqt_plot,NA,0.31
65,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visualize+multiple+graphs+separately+with+rqt,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visualize+multiple+graphs+separately+with+rqt,rqt_gui,NA,0.26
66,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+view+multiple+images+in+one+window,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+view+multiple+images+in+one+window,rqt_image_view,NA,0.37
67,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visualize+3d+data+in+3d+world,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visualize+3d+data+in+3d+world,rqt_rviz,NA,0.35
68,"https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visualize,+filter+and+analyze+log+messages","https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visualize,+filter+and+analyze+log+messages",rqt_console,7,0.34
69,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+view+the+state+graph+of+nodes,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+view+the+state+graph+of+nodes,rqt_graph,NA,0.33
70,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+create+robot+model,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+create+robot+model,xacro,NA,0.32
71,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+open+gazebo,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+open+gazebo,gazebo_ros,NA,0.33
72,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+transform+the+coordinateframes,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+transform+the+coordinateframes,tf,4,0.29
73,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+teleoperate+robot+by+twist+messages+with+keyboard,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+teleoperate+robot+by+twist+messages+with+keyboard,teleop_twist_keyboard,2,0.29
74,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+locating+the+robot+in+2d+environment,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+locating+the+robot+in+2d+environment,amcl,NA,0.37
75,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+get+feedbacks+from+executing+robot+commands,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+get+feedbacks+from+executing+robot+commands,actionlib,NA,0.44
76,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+the+setup+helper+for+moveit,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+the+setup+helper+for+moveit,moveit_setup_assistant,1,0.36
77,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+provide+base+markers,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+provide+base+markers,aruco_ros,16,0.30 
78,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+the+server+for+grasp+with+moveit,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+the+server+for+grasp+with+moveit,moveit_simple_grasps,8,0.29
79,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+arduino+with+rosserial+protocol,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+arduino+with+rosserial+protocol,rosserial_arduino,1,0.24
80,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+razor_imu+with+GUI,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+use+razor_imu+with+GUI,razor_imu_9dof,1,0.29
81,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+driver+package+for+Xsens+MTi+imu,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+driver+package+for+Xsens+MTi+imu,xsens_driver,2,0.29
82,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+parse+nmea+strings+and+publish+GPS+messages,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+parse+nmea+strings+and+publish+GPS+messages,nmea_navsat_driver,1,0.34
83,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+driver+for+hokuyo+scanning+range+finder,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+driver+for+hokuyo+scanning+range+finder,hokuyo_node,1,0.28
84,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+launch+openni+device,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+launch+openni+device,openni_launch,1,0.28
85,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+description+package+for+openni+device,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+description+package+for+openni+device,openni_description,3,0.27
86,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+driver+package+for+Kinect,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+driver+package+for+Kinect,openni_camera,NA,0.30 
87,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+run+driver+for+camera1394,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+run+driver+for+camera1394,camera1394,1,0.29
88,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+plugins+for+transporting+images,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+plugins+for+transporting+images,image_transport_plugins,NA,0.36
89,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+process+stereo+camera+pairs,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+process+stereo+camera+pairs,camera1394stereo,NA,0.45
90,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+track+moving+edges+with+ViSP,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+track+moving+edges+with+ViSP,visp_tracker,1,0.26
91,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+model+based+tracker+with+ViSP,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+model+based+tracker+with+ViSP,visp_auto_tracker,4,0.30 
92,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+interface+ViSP+with+ROS,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+interface+ViSP+with+ROS,visp_ros,1,0.30 
93,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+recognize+objects,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+recognize+objects,object_recognition_ros,NA,0.48
94,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visual-based+odometry,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visual-based+odometry,viso2_ros,NA,0.39
95,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visual+odometry,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+visual+odometry,libfovis,17,0.25
96,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Message+package+for+point+cloud+library,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+Message+package+for+point+cloud+library,pcl_msgs,12,0.35
97,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+record+the+point+cloud+messages,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+record+the+point+cloud+messages,pcl_recorder,NA,0.37
98,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+PCL+interface+for+ROS,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+PCL+interface+for+ROS,pcl_ros,1,0.29
99,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+mir-100+robot+in+gazebo+simulator,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+start+mir-100+robot+in+gazebo+simulator,mir_gazebo,NA,0.35
100,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+run+hector_mapping+algorithm+for+mir100+robot,https://www.google.com/search?q=site%3Aros.org+OR+site%3Agithub.com+run+hector_mapping+algorithm+for+mir100+robot,mir_navigation,NA,0.22
,,,,,0.3049
,,,,,0.057918351
